id,name,transit,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,street,neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,guests_included,last_review,review_scores_rating,cancellation_policy,reviews_per_month
12023024,Cozy room in a well located house,,64331842,Ricardo,3/24/2016,83%,100%,f,Roslindale,"Newburg Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,1,1,1,$60.00 ,1,6/17/2016,80,flexible,0.36
1668313,Room in Rozzie-Twin Bed-Full Bath,"We are less than a block from city buses, which go to the Forest Hills T (transit) station for the subway into Boston and Cambridge, or 7 minutes walk to the commuter rail (Needham line (URL HIDDEN) for a faster ride into South Station (Boston).  If you are driving in to town, street parking by the house is easy and free.",8834105,Rebecca,9/14/2013,100%,89%,t,Roslindale,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,1,1,1,$57.00 ,1,8/18/2016,94,flexible,0.48
2684840,"Updated, spacious living in Rozzie",,13743098,Megan,3/31/2014,100%,100%,f,Roslindale,"Primrose Street, Boston, MA 02131, United States",Roslindale,2131,Condominium,Entire home/apt,4,1,2,2,$93.00 ,1,7/23/2016,100,flexible,0.64
13547301,2 Bedroom Apartment in Boston,,57402911,Georgia,2/4/2016,100%,97%,f,Roslindale,"Fairview Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,5,1,2,3,$150.00 ,5,9/3/2016,97,moderate,4.93
5434353,Quiet  Beauty in Boston,Steps to Commuter Rail. Needham Line. 15 minutes to downtown Boston.  Multiple bus connections. Good Boston Logan Airport Connection. ,9658771,Anthony,10/27/2013,75%,100%,f,Roslindale,"Tyndale Street, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,2,1.5,2,2,$145.00 ,2,8/6/2016,91,moderate,0.56
225979,Cozy Room & Fresh Roasted Coffee,"Public transportation in Boston is as good as anywhere in the world. Every bus and train has a gps that lets you track it via your mobile phone or computer. There is no guesswork or wasted time in using the public transit system. To get into Boston the bus is just a few steps from the front door and you can be in downtown Boston in 40 minutes on average, often less. My location is an excellent place from which to commute into downtown Boston, Mass General Hospital, the financial district, Back Bay (Copley, Prudential Center, Newbury St.), the Museuem of Fine Arts, Harvard Medical School, and the Longwood Medical Center. If you are going to use public transportation I have a ""Charlie Card"" with enough of a balance to get you through the first day or so of your visit. You can reload them at any ""T"" station. The Charlie Card is very convenient for bus and subway travel and is less expensive per fare than using cash or the Charlie Ticket. I do expect that you will return these cards with t",1176995,Duane,9/18/2011,100%,79%,f,Roslindale,"Augustus Ave, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,1,0,1,1,$60.00 ,1,8/2/2016,96,strict,1.16
3420384,"Convient, Safe and Comfortable","Airport pick up service for a nominal fee. Bus, commuter rail and train in the neighborhood. Bus a two minute walk from the house. Plenty of on street parking. Lyft and Uber service available while on premises.",431385,Cynthia,3/9/2011,100%,100%,f,Roslindale,"Doncaster Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,4,1,1,3,$165.00 ,3,8/26/2016,100,flexible,1
13512930,Roslindale Beauty next to Arboretum,,13743098,Megan,3/31/2014,100%,100%,f,Roslindale,"Primrose Street, Boston, MA 02131, United States",Roslindale,2131,Condominium,Private room,2,1,1,1,$75.00 ,1,6/20/2016,100,flexible,0.37
7482195,Private room near bus stop,,34552909,Barrie,5/30/2015,100%,100%,t,Roslindale,"Brook Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,1,1,1,$49.00 ,1,,,strict,
7252607,Private Room near Public Transport,,34552909,Barrie,5/30/2015,100%,100%,t,Roslindale,"Brook St, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,1,1,1,$49.00 ,1,8/21/2016,95,strict,0.29
2583074,Cozy room in a charming villa.,"The bus line to Forest Hills station is just up the street. At Forest Hill station, the subway will take you to downtown Boston in less than 15 minutes.",13226301,Mohamed,3/17/2014,100%,94%,t,Roslindale,"Cedrus Avenue, Boston, MA 02131, United States",Roslindale,2131,Villa,Private room,1,2.5,1,1,$40.00 ,1,8/30/2016,99,flexible,1.24
13251243,Arborside Guest Cottage,Steps to the bus stops for Forest Hills (Jamaica Plain) and Coolidge Corner (Brookline).  Forest Hills Station is an Orange Line and a commuter rail stop. Walk to Forest Hills station is a 15-20 minute walk through the Arboretum.,74531248,Carl & Judy,5/28/2016,100%,100%,f,Roslindale,"Weld Street, Roslindale, MA 02131, United States",Roslindale,2131,House,Entire home/apt,3,1,0,2,$120.00 ,3,9/1/2016,98,moderate,5.93
225834,Skyline View to Boston,"Public transportation in Boston is as good as anywhere in the world. Every bus and train has a gps that lets you track it via your mobile phone or computer. There is no guesswork or wasted time in using the public transit system. To get into Boston the bus is just a few steps from the front door and you can be in downtown Boston in 40 minutes on average, often less. My location is an excellent place from which to commute into downtown Boston, Mass General Hospital, the financial district, Back Bay (Copley, Prudential Center, Newbury St.), the Museuem of Fine Arts, Harvard Medical School, and the Longwood Medical Center. If you are going to use public transportation I have a ""Charlie Card"" with enough of a balance to get you through the first day or so of your visit. You can reload them at any ""T"" station. The Charlie Card is very convenient for bus and subway travel and is less expensive per fare than using cash or the Charlie Ticket. I do expect that you will return these cards with t",1176995,Duane,9/18/2011,100%,79%,f,Roslindale,"Augustus Ave, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,2,0,1,1,$70.00 ,1,8/31/2016,98,strict,0.63
6400432,Spacious 3 bedroom cape cod style,,23127285,Jesús,10/29/2014,100%,63%,f,,"Metropolitan Ave, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,8,1,3,5,$150.00 ,6,8/19/2016,88,flexible,1.58
5498472,"4BD/3.5BA, Perfect for families!",,28518068,Colette,2/28/2015,N/A,N/A,f,Roslindale,"Chisholm Lane, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,5,3.5,4,3,$175.00 ,1,7/24/2015,100,moderate,0.07
894539,Private room in house ,,4762495,Jennifer,1/19/2013,100%,92%,t,Roslindale,"Ashfield Street, Roslindale, MA 02131, United States",Roslindale,2131,House,Private room,2,1.5,1,1,$95.00 ,1,9/2/2016,96,moderate,1.13
879929,Surround yourself with custom art!,"Easy access to commuter rail, bus and MBTA. I am located on Boston bike trail and it is a 4.8 mile bike ride to the center of downtown Boston without riding on any roads.",4653380,Beth,1/10/2013,100%,100%,f,Roslindale,"Ashfield Street, Roslindale, MA 02131, United States",Roslindale,2131,Apartment,Private room,2,1,1,1,$90.00 ,1,12/1/2015,95,strict,1.06
9218312,Sunny bedroom with private bathroom,"Five minutes walk from our house, you can catch the commuter rail directly into Downtown Boston (a 15-minute ride), or one of the many buses that head up Washington Street to Forest Hills, the southern terminal of the Orange Line. It also never takes long to get an Uber.",47935411,Jone,11/1/2015,100%,100%,t,Roslindale,"Fairview Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,1,1,1,$95.00 ,1,8/24/2016,99,moderate,4.02
321328,Bright Room Near Roslindale Village,"There is the commuter rail, and a bus to Forest hills T stop which is the terminus of the subway line to downtown.",8302344,Dan,8/21/2013,60%,100%,f,Roslindale,"Selwyn St, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,2,1,1,2,$100.00 ,1,10/24/2015,90,flexible,0.21
1810172,Room for 2 in Rozzie - Full Bath,"We are less than a block from city buses, which go to the Forest Hills T (transit) station for the subway into Boston and Cambridge, or 7 minutes walk to the commuter rail (Needham line (URL HIDDEN) for a faster ride into South Station (Boston).  If you are driving in to town, street parking by the house is easy and free.",8834105,Rebecca,9/14/2013,100%,89%,t,Roslindale,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,1,1,1,$67.00 ,1,8/15/2016,96,flexible,0.58
6513924,Private room in spacious condo!,Located right on the #32 bus route which shoots you right to Forest Hills orange line station.  Roslindale Village Commuter Rail station a 15 minute walk away.,16398126,Chris,6/4/2014,95%,100%,f,Roslindale,"Hyde Park Avenue, Boston, MA 02131, United States",Roslindale,2131,Condominium,Private room,1,1,1,1,$55.00 ,1,8/31/2016,92,flexible,1.93
7093109,Adorable  Apt. 20 min from Downtown,,37177446,Nelson And Marlene,6/30/2015,100%,100%,f,Roslindale,"Hyde Park Avenue, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,6,1,2,2,$200.00 ,4,5/31/2016,100,strict,0.38
14690527,1 Bedroom Home Suite Home,,28472710,Crystal,2/27/2015,N/A,N/A,f,Roslindale,"Conway Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,4,1,1,2,$150.00 ,1,,,flexible,
7086825,Private Room near public transport,,34552909,Barrie,5/30/2015,100%,100%,t,Roslindale,"Brook Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,1,1,1,$49.00 ,1,6/26/2016,98,strict,0.72
1861070,Charming Gambrel on a sweet street,How easy is this!  At the end of my one block long street is the #50 bus which will take you to the village or to the Orange Line...if you are traveling by car there is ample on-street parking.,8879967,Joanne,9/16/2013,100%,71%,f,Roslindale,"Granada Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,1.5,1,1,$75.00 ,1,6/25/2016,96,flexible,0.59
4283698,Private 1 bedroom w/ kitchenette,"We're 3-4 blocks from the Roslindale Village train station where you can catch the commuter rail (running every 30 minutes during rush hour, 1x per hour during the day), and many buses pass on the corner.  Check MBTA website for more information. We are 2 miles from the T Orange Line, which runs every 5-10 minutes all day night until 2am.  Many buses on the corner go directly there, or you can take a nice walk through the Arnold Arboretum directly to the T.  This is a fantastic location for vicinity to all downtown Boston has to offer, with tons of space for you to relax in.",333210,Gena & Leon,1/2/2011,100%,95%,f,Roslindale,"Fletcher Street, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,4,1,1,2,$110.00 ,2,9/2/2016,87,strict,2.36
10116095,Comfortable & Clean - Boston,,1229092,Jim,9/30/2011,100%,100%,f,,"Sheffield Road, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,2,1,1,1,$115.00 ,1,,,strict,
8548176,Charming 3 bedroom-15 min to Boston,Walk to Rosi square and take the commuter rail into town ((SENSITIVE CONTENTS HIDDEN) Needham Line) or take the bus to the Orange Line (Forest Hills Station) or UBER for approx. $15 to downtown,6570877,Juliet,5/25/2013,98%,96%,f,Roslindale,"Kittredge Street, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,16,1,3,5,$125.00 ,1,8/23/2016,91,strict,2.07
4922204,Charming new house-15 min to Boston,"The commuter rail stop ""Roslindale"" is part of the Needham Line and is a 5 minute walk from the house. It goes to downtown Boston South Station in 15 minutes. Bus also close depending where you are going.",6570877,Juliet,5/25/2013,98%,96%,f,Roslindale,"Kittredge St, Roslindale, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,16,2.5,3,7,$200.00 ,1,8/22/2016,95,strict,4.32
4085362,"""Room with a View""  from ""Top of the Hill""","We are a few minutes walk to public bus service with easy access to downtown and suburbs. Enjoy touring the City of Boston and when you need to rest, return to quiet and friendly Roslindale!  We are conveniently located close to Boston AND surrounding suburbs.",3164508,Marilyn,8/5/2012,100%,100%,t,Roslindale,"Cornell Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,2,1,1,$75.00 ,1,9/4/2016,97,moderate,0.87
3755609,Lovely & Gracious Victorian room,"The neighborhood is served by an MBTA Commuter Rail line, several MBTA bus lines and the MBTA Orange Line. Roslindale has its own branch of the Boston Public Library, the neighborhood is covered by Boston Police. It is six miles south-southwest of downtown Boston. ",19223882,Rosa,7/31/2014,100%,100%,f,Roslindale,"Metropolitan Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,1,1,1,$78.00 ,1,8/7/2016,95,flexible,0.87
13768853,"Cozy, quiet room in Roslindale",,43132977,Elly,9/1/2015,100%,100%,f,Roslindale,"South Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,4,1,1,2,$50.00 ,1,8/23/2016,96,flexible,5.77
1936861,Private Room in Rozzie,"Dear Prospective Guests, this unit has access to public transit. The bus stop and commuter rail are within walking distance. You must take a bus eight minutes to get to the nearest T (subway) station. PLEASE NOTE THAT COMMUTER RAIL DOES NOT RUN ON THE WEEKENDS. THE SUBWAY, HOWEVER, OPERATES SEVEN DAYS A WEEK.   PLEASE, IF YOU WANT TO KNOW HOW FAR MY PLACE IS FROM ANY LOCATION IN THE BOSTON AREA, USE (SENSITIVE CONTENTS HIDDEN) MAPS TO CALCULATE TRAVEL TIME FROM FALLON FIELD IN ROSLINDALE TO YOUR DESTINATION. I NO LONGER HAVE TIME TO GO TO (SENSITIVE CONTENTS HIDDEN) MAPS AND CALCULATE TRAVEL TIMES FOR EVERY INQUIRY. MANY THANKS FOR YOUR UNDERSTANDING! Average commute to Back Bay/downtown by subway is about 40 minutes. By commuter rail you can be in Back Bay in 10 minutes. Orange line from Forest Hills Station. Commuter Rail (Needham Line). Myriad buses run through Roslindale Square on the way to Forest Hills.",10021116,Douglas,11/14/2013,100%,71%,t,Roslindale,"Fletcher Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,1,1,1,1,$60.00 ,1,8/29/2016,98,flexible,4.39
4461111,Queen room in a charming villa,"The bus line to Forest Hills station is just up the street. At Forest Hill station, the subway will take you to downtown Boston in less than 15 minutes.",13226301,Mohamed,3/17/2014,100%,94%,t,Roslindale,"Cedrus Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,1.5,1,1,$45.00 ,1,6/8/2016,100,flexible,0.54
1724900,Charming sunlit house in Boston,"PUBLIC TRANSPORTATION  With excellent public transportation (locally known as ""the T"") you can access all of Boston or Cambridge easily from our lovely neighborhood. We highly recommend doing the majority of your travel by foot and public transportation, as Boston can be challenging to navigate by car. All of Greater Boston's historical sights, academic institutions, fine medical centers, and sightseeing tours are accessible by public transportation.  ",7723912,Fj,7/25/2013,77%,89%,f,Roslindale,"Birch Street, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,4,1,2,2,$145.00 ,3,8/22/2016,92,strict,0.74
13937181,Guest Room in Cozy Home,,82861960,Lelia,7/10/2016,100%,83%,f,Roslindale,"June Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,2,1,1,$45.00 ,1,9/5/2016,96,flexible,3.13
3968797,Sunny bedroom in large quiet house,"Bus, MBTA Orange Line, and Commuter Rail are all close.",4762495,Jennifer,1/19/2013,100%,92%,t,Roslindale,"Ashfield Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,1.5,1,1,$85.00 ,1,8/28/2016,97,moderate,1.67
1494726,Cozy in Rozzie!,Several bus lines to Roslindale Square and Forest Hills Station. Walking distance to lots restaurants and shops.,7506913,Maria Cecilia,7/15/2013,100%,100%,f,Roslindale,"Glendower Road, Roslindale, MA 02131, United States",Roslindale,2131,House,Private room,1,1,1,1,$75.00 ,1,7/2/2016,93,strict,0.37
8473851,Private Room in Single Family Home,10 min walk (.40 mile) to bus lines to Forest Hills station (15 min ride to downtown). Parking on the street.,44625108,Jessica,9/19/2015,100%,91%,f,Roslindale,"Beech Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,2,1,1,$50.00 ,1,8/14/2016,99,flexible,1.23
3575220,The Artist room in beautiful villa.,"The bus line to Forest Hills station is just one block up the street. At Forest Hill station, the subway will take you to downtown Boston.",13226301,Mohamed,3/17/2014,100%,94%,t,Roslindale,"Cedrus Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,1,2.5,1,1,$45.00 ,1,8/21/2016,97,flexible,0.33
1591827,PrivRoom+Bath In Roslindale/Boston,"Check out the MBTA website for maps. The 32 bus picks up just outside our door (Ramsdell St.) Coming home, use 703 Hyde Park Ave stop off 32 bus. Forest Hills Station is 1.5 miles away, which is 5 mins by bus. Then take Orange Line into downtown. It takes about 30 mins to get to center. Bike lanes are everywhere, so feel free to rent or bring a bike. There is ample street parking as well if you bring a car. Cabs are plentiful but not cheap (about $20 plus tip to get downtown-$50 to and from airport). Try Uber, it's cheaper. Parking downtown will run you about $30-$40 unless you are lucky enough to find a metered spot. Good luck with that!",8491165,Jeff,8/28/2013,100%,67%,f,Roslindale,"Hyde Park Avenue, Roslindale, MA 02131, United States",Roslindale,2131,House,Private room,2,1,1,1,$60.00 ,2,8/29/2016,92,moderate,3.22
3229255,1bd Boston apt - Convenient & quiet,"Easy access to downtown via the commuter rail- 2 minutes to the platform! Commuter rail now runs on Saturday too. 15 mins to Back Bay or South Station. Or via any number of buses that stop at the end of the street that run the 10 mins to forest hills T stop and beyond. On street parking available.  Convenient for Boston Uni, Suffolk Uni, Northeastern Uni, Boston College, Berklee, Wheelock, Emmanuel, Emerson colleges. Also ideally situated for driving to Longwood Medical Area which includes  Brigham & Women's Hospital, Beth Israel Hospital, Dana Farber Cancer Center, Boston Children's Hospital, Faulkner Hospital, Harvard Medical School. Babson College is 30 minutes away.  Boston School of Modern Languages is a 3 minute walk.  You can see the school building from the apartment! Surrounding neighborhoods accessible by foot or short public transport ride are Jamaica Plain, West Roxbury, Hyde Park. A little further afield (15- 20 mins) by car, cab or Uber to Brookline, Newton, Chestnut Hill",16343599,Ella & Will,6/3/2014,90%,94%,t,Roslindale,"Pinehurst Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,3,1,1,1,$95.00 ,1,8/24/2016,99,strict,2.07
1721016,Quiet Sunlit Attic Studio,"PUBLIC TRANSPORTATION  With excellent public transportation (locally known as ""the T"") you can access all of Boston or Cambridge easily from our lovely neighborhood.  We highly recommend doing the majority of your travel to down town by bus or foot and public transportation, as the downtown area of Boston can be challenging to navigate by car. All of Greater Boston's historical sights, academic institutions, fine medical centers, and sightseeing tours are accessible by public transportation.  The bus runs frequently to Forest Hills T stop or the MBTA commuter rail to South station is a 7 minute walk from our house.  ",7723912,Fj,7/25/2013,77%,89%,f,Roslindale,"Birch Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,2,1,0,1,$89.00 ,2,6/6/2016,100,strict,0.12
12535687,In-Law Apartment,Bus stop to the Train is at the corner; Forrest Hills T station (Orange Line) is less than a mile away. Or drive and park at the T station for about $8 a day. Minutes from Downtown Boston. Maps and brochures available.,30349101,Rossanna,3/31/2015,N/A,N/A,f,Roslindale,"Atherton Avenue, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,3,1,0,2,$110.00 ,1,,,flexible,
12994227,Cozy room near the arboretum,MBTA Orange Line - Forest Hill Station,8582699,Poppy,9/2/2013,100%,100%,f,,"Weld Hill street, Boston, MA 02131, United States",Roslindale,2131,Condominium,Private room,2,1,1,1,$65.00 ,1,,,flexible,
12927298,Private House in Roslindale/Boston/Arboretum,,68001856,Laura,4/19/2016,100%,100%,f,Roslindale,"Knoll Street, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,7,2,3,3,$285.00 ,5,9/6/2016,80,strict,1.15
169938,Gorgeous Boston Loft Style Condo!,,809859,Lisa,7/12/2011,50%,100%,f,Jamaica Plain,"Brookside Ave, Boston, MA 02130, United States",Jamaica Plain,2130,Apartment,Entire home/apt,4,1,1,1,$140.00 ,4,9/3/2016,,moderate,1
594693,Private room in peaceful space,,2139546,Robin,4/14/2012,100%,100%,f,Jamaica Plain,"South St, Boston, MA 02130, United States",Jamaica Plain,2130,Apartment,Private room,2,1,1,1,$70.00 ,1,9/5/2016,93,strict,0.46
2384581,"Loft bedroom, sleeps 2",,12083797,Molly,2/9/2014,93%,73%,f,Jamaica Plain,"Holbrook Street, Boston, MA 02130, United States",Jamaica Plain,2130,House,Private room,2,1,1,1,$95.00 ,1,11/6/2015,93,flexible,0.46
735970,Part of a Large Condo Jamaica Plain,The 10 minute walk to the fast Orange Line goes right past my favorite bakery.  The Orange Line connects to all other lines. It takes about 50 minutes to get to the airport.,3840038,Sidney,10/11/2012,N/A,N/A,f,Jamaica Plain,"Beaufort Rd, Boston, MA 02130, United States",Jamaica Plain,2130,Bed & Breakfast,Private room,2,1,1,1,$55.00 ,1,5/22/2015,100,flexible,0.06
4262255,Beautiful and sunny condo ,Public transport is super convenient.  A 12-15 minute walk will get you to the subway or buses.,21873698,Elizabeth,9/28/2014,100%,89%,t,Jamaica Plain,"Rossmore Road, Boston, MA 02130, United States",Jamaica Plain,2130,Apartment,Private room,2,1,1,1,$80.00 ,1,8/29/2016,99,moderate,2.48
4000384,Sunlit room with private bath,Yes subway 2 blocks away.,10910804,Evelyn,12/30/2013,70%,85%,f,Jamaica Plain,"Copley Street, Boston, MA 02119, United States",Jamaica Plain,2119,House,Private room,2,1,1,1,$120.00 ,1,8/20/2016,97,flexible,2.36
6693305,"Bed, Bath and Beyond III in JP",,14303759,Susan,4/15/2014,100%,89%,t,Jamaica Plain,"Forbes Street, Boston, MA 02130, United States",Jamaica Plain,2130,Apartment,Private room,2,1,1,1,$65.00 ,1,7/6/2015,100,flexible,0.07
6730758,Private studio by subway w/parking,"A 5 minute walk from the Stonybrook or Green St T station (Orange Line), 15-min ride into the heart of Boston A block away from the Southwest Corridor bike path that takes you directly into town in one direction or minutes from several bus lines Plenty of on-street (no permit needed) parking right outside our door.  We are also one block away from a zipcar AND a city-bike rental location in case you need to rent a car/bike for a few hours or a day!",207475,Danielle&Peder,8/20/2010,100%,100%,t,Jamaica Plain,"Minton Street, Boston, MA 02130, United States",Jamaica Plain,2130,Apartment,Private room,4,1,1,2,$100.00 ,2,8/21/2016,97,moderate,3.03
6248970,Spacious room convenient to subway,"Yes, a few minutes walk from Orange Line, also buses",32449720,Shawn,5/2/2015,100%,100%,t,,"Mozart St, Boston, MA 02130, United States",Jamaica Plain,2130,Apartment,Private room,1,1,1,1,$65.00 ,1,8/27/2016,96,moderate,4.29
12806707,Artistic House Next To Jamaica Pond,,4263511,Miriam,11/27/2012,71%,100%,f,Jamaica Plain,"Goodrich Road, Boston, MA 02130, United States",Jamaica Plain,2130,House,Private room,1,1,1,1,$60.00 ,1,,,flexible,
